"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3287","opens transfer funds with medium transfer data","chromium","2026-07-16","passed","2026-07-16","ParaBank data-driven E2E coverage","ParaBankDataDrivenE2E.spec.ts","",""
"","11711","CorrectData","chromium","2026-07-13","passed","2026-07-13","","HomePage.spec.ts","",""
"","3383","opens bill pay with subscription payment data","chromium","2026-07-16","passed","2026-07-16","ParaBank data-driven E2E coverage","ParaBankDataDrivenE2E.spec.ts","",""
"","5450","IncorrectPassword","Mobile Chrome","2026-07-13","passed","2026-07-13","","HomePage.spec.ts","",""
"","2928","shows invalid login error message for wrong credentials","chromium","2026-07-16","passed","2026-07-16","ParaBank advanced coverage","ParaBankAdvancedCoverage.spec.ts","",""
"","11065","IncorrectPassword","webkit","2026-07-13","passed","2026-07-13","","HomePage.spec.ts","",""
"","3391","Open New Account page loads from account area","chromium","2026-07-16","passed","2026-07-16","","AccountBasics.spec.ts","",""
"","7569","Inventory","chromium","2026-07-14","passed","2026-07-14","","HomePage.spec.ts","",""
"","1824","Login","chromium","2026-07-13","failed","2026-07-13","","LoginPage.spec.ts","",""
"","23110","registers a new user and reaches the account overview when the live site accepts the username","chromium","2026-07-16","failed","2026-07-16","","RegisterPage.spec.ts","",""
"","33656","CorrectData","firefox","2026-07-13","broken","2026-07-13","","HomePage.spec.ts","",""
"","5317","IncorrectUsername","Mobile Chrome","2026-07-13","passed","2026-07-13","","HomePage.spec.ts","",""
"","5660","IncorrectPassword","Microsoft Edge","2026-07-13","passed","2026-07-13","","HomePage.spec.ts","",""
"","2576","Home page loads","chromium","2026-07-16","passed","2026-07-16","Basic ParaBank site smoke tests","BasicSite.spec.ts","",""
"","7200","CorrectData","Microsoft Edge","2026-07-13","passed","2026-07-13","","HomePage.spec.ts","",""
"","6856","CorrectData","webkit","2026-07-13","failed","2026-07-13","","HomePage.spec.ts","",""
"","5194","Account services menu basics","chromium","2026-07-16","passed","2026-07-16","","AccountServicesBasics.spec.ts","",""
"","3244","register page loads and accepts entry into all required fields","chromium","2026-07-16","passed","2026-07-16","ParaBank advanced coverage","ParaBankAdvancedCoverage.spec.ts","",""
"","7890","Update Contact Info page loads","chromium","2026-07-16","passed","2026-07-16","","AccountServicesBasics.spec.ts","",""
"","12252","IncorrectUsername","webkit","2026-07-13","passed","2026-07-13","","HomePage.spec.ts","",""
"","3365","logs in with valid credentials and reaches the overview page","chromium","2026-07-16","passed","2026-07-16","ParaBank advanced coverage","ParaBankAdvancedCoverage.spec.ts","",""
"","3542","finds transactions through the find-transactions page","chromium","2026-07-16","passed","2026-07-16","ParaBank data-driven E2E coverage","ParaBankDataDrivenE2E.spec.ts","",""
